index,x,y,z,xn,yn,zn,error
1202,-2.997469,-0.802761,4.499780,-0.122172,-0.122046,0.984977,2.631993
1204,-3.967289,-0.811492,4.469333,-0.114989,-0.172858,0.978211,2.609076
1205,-4.099343,-1.782761,4.226125,-0.117134,-0.265999,0.956830,12.130690
1206,-4.171974,-2.712419,3.934939,-0.160899,-0.410781,0.897424,10.488975
1207,-4.173570,-3.571196,3.504500,-0.179183,-0.584464,0.791389,9.393841
1208,-4.264521,-4.299807,2.786383,-0.204519,-0.816485,0.539930,12.042459
1209,-4.311299,-4.705939,1.964490,-0.209214,-0.931003,0.299103,12.529504
1210,-4.404296,-4.888616,0.998308,-0.189567,-0.981865,0.002207,14.829179
1211,-4.500187,-4.732479,0.002565,-0.191208,-0.950581,-0.244613,10.816125
1212,-4.697996,-4.429970,-0.877036,-0.162593,-0.907307,-0.387760,9.269639
1213,-4.895671,-3.868615,-1.668141,-0.147169,-0.818146,-0.555858,7.811797
1214,-5.019481,-3.251174,-2.315567,-0.142226,-0.704269,-0.695541,8.690178
1215,-5.098614,-2.577694,-3.056516,-0.145816,-0.566045,-0.811375,2.732753
1280,-9.634917,0.556258,3.503815,-0.055896,0.376240,0.924835,3.908045
1281,-9.561647,1.308207,2.986376,-0.077916,0.491091,0.867617,4.683708
1282,-9.510837,2.166283,2.566843,-0.062676,0.586842,0.807272,7.173998
1283,-9.540165,3.038556,1.995133,-0.028092,0.696191,0.717307,6.603472
1284,-9.564202,3.783954,1.381227,0.038881,0.789791,0.612142,7.546343
1285,-9.546543,4.402968,0.642423,0.059736,0.914623,0.399871,3.227214
1286,-9.468814,4.736605,-0.285964,0.064593,0.988154,0.139211,7.534760
1287,-9.586518,4.675395,-1.259823,0.114895,0.969412,-0.216888,5.215064
1288,-9.706246,4.323269,-2.165679,0.159132,0.806562,-0.569329,15.573592
1289,-9.930871,3.670995,-2.770665,0.103798,0.591424,-0.799652,15.419976
1290,-10.149754,2.772000,-3.239870,0.012788,0.262206,-0.964927,12.935416
1291,-10.373225,1.803079,-3.341246,-0.062873,0.085043,-0.994392,13.551235
1292,-10.446993,0.876369,-3.262133,-0.143381,-0.095163,-0.985082,11.289186
1293,-10.494535,-0.061893,-3.081662,-0.169554,-0.280083,-0.944883,8.879146
1294,-10.396830,-0.978968,-2.814653,-0.165834,-0.396960,-0.902730,14.078494
1295,-10.888734,-1.539842,-2.286079,-0.179921,-0.488926,-0.853569,8.770131
1296,-11.386472,-0.760732,-2.643752,-0.140137,-0.386189,-0.911713,6.931276
