index,u,v
0,0.8125,0.4822916666666667
1,0.8125,0.4953125
2,0.8083333333333333,0.5005208333333333
10,0.8328125,0.4375
11,0.8401041666666667,0.44895833333333335
12,0.8427083333333333,0.4630208333333333
13,0.8416666666666667,0.4796875
14,0.8390625,0.4921875
15,0.8354166666666667,0.4984375
22,0.8552083333333333,0.4359375
23,0.8614583333333333,0.44427083333333334
24,0.8666666666666667,0.4578125
25,0.8677083333333333,0.4739583333333333
26,0.8677083333333333,0.48854166666666665
27,0.8635416666666667,0.496875
34,0.8833333333333333,0.43854166666666666
35,0.890625,0.44895833333333335
36,0.8953125,0.4625
37,0.8953125,0.4786458333333333
38,0.8927083333333333,0.4921875
39,0.8890625,0.4979166666666667
46,0.9166666666666666,0.446875
47,0.9234375,0.45989583333333334
48,0.925,0.47604166666666664
56,0.9348958333333334,0.44583333333333336
57,0.9458333333333333,0.45364583333333336
58,0.9505208333333334,0.4671875
59,0.9484375,0.48333333333333334
60,0.9421875,0.49583333333333335
67,0.8161458333333333,0.4354166666666667
68,0.8234375,0.44375
69,0.8260416666666667,0.4588541666666667
70,0.8286458333333333,0.4739583333333333
71,0.828125,0.4890625
72,0.8244791666666667,0.4973958333333333
80,0.8458333333333333,0.4395833333333333
81,0.8526041666666667,0.44947916666666665
82,0.8552083333333333,0.4640625
83,0.8552083333333333,0.48020833333333335
84,0.8520833333333333,0.4921875
85,0.8489583333333334,0.4979166666666667
92,0.8713541666666667,0.4390625
93,0.8776041666666666,0.44895833333333335
94,0.88125,0.46510416666666665
95,0.88125,0.4796875
96,0.8786458333333333,0.4921875
97,0.875,0.4973958333333333
104,0.9015625,0.44479166666666664
105,0.9083333333333333,0.45677083333333335
106,0.9088541666666666,0.4734375
114,0.9203125,0.4432291666666667
115,0.9307291666666667,0.4473958333333333
116,0.9385416666666667,0.45989583333333334
117,0.9395833333333333,0.47552083333333334
118,0.9359375,0.4901041666666667
119,0.9286458333333333,0.4979166666666667
125,0.9489583333333333,0.44895833333333335
126,0.95625,0.4588541666666667
127,0.9572916666666667,0.4744791666666667
256,0.6354166666666666,0.5088541666666667
257,0.6385416666666667,0.5171875
258,0.6416666666666667,0.525
259,0.6427083333333333,0.5296875
263,0.6291666666666667,0.5354166666666667
264,0.6307291666666667,0.528125
265,0.63125,0.5171875
266,0.6307291666666667,0.5041666666666667
267,0.628125,0.4890625
269,0.6265625,0.459375
270,0.6291666666666667,0.4484375
271,0.628125,0.4395833333333333
272,0.6260416666666667,0.4354166666666667
282,0.6380208333333334,0.43645833333333334
283,0.640625,0.44166666666666665
284,0.6432291666666666,0.4510416666666667
320,0.6473958333333333,0.5026041666666666
321,0.6520833333333333,0.515625
322,0.653125,0.5229166666666667
333,0.6479166666666667,0.434375
334,0.6505208333333333,0.43645833333333334
335,0.6526041666666667,0.4427083333333333
336,0.65625,0.4557291666666667
337,0.6578125,0.46979166666666666
338,0.6604166666666667,0.48541666666666666
339,0.6614583333333334,0.5
340,0.6630208333333333,0.5125
352,0.6625,0.4354166666666667
353,0.6661458333333333,0.4421875
354,0.6697916666666667,0.45416666666666666
355,0.6744791666666666,0.46822916666666664
356,0.6770833333333334,0.48489583333333336
357,0.678125,0.49895833333333334
358,0.6786458333333333,0.509375
369,0.6755208333333333,0.4354166666666667
370,0.6791666666666667,0.440625
371,0.6848958333333334,0.45208333333333334
372,0.6890625,0.46510416666666665
373,0.6921875,0.48125
374,0.69375,0.49583333333333335
375,0.6916666666666667,0.5057291666666667
392,0.6994791666666667,0.4348958333333333
393,0.7052083333333333,0.4375
394,0.7098958333333333,0.44479166666666664
395,0.7177083333333333,0.4578125
396,0.721875,0.47291666666666665
397,0.7229166666666667,0.4875
398,0.721875,0.496875
399,0.7192708333333333,0.5036458333333333
408,0.7286458333333333,0.43385416666666665
409,0.7348958333333333,0.4390625
410,0.7416666666666667,0.45
411,0.7458333333333333,0.46510416666666665
412,0.7479166666666667,0.4796875
413,0.7473958333333334,0.49322916666666666
414,0.7447916666666666,0.5005208333333333
422,0.7494791666666667,0.43385416666666665
423,0.7572916666666667,0.43333333333333335
424,0.7640625,0.4395833333333333
425,0.7703125,0.453125
426,0.7729166666666667,0.4671875
427,0.7744791666666667,0.4828125
428,0.7734375,0.4947916666666667
429,0.7703125,0.5010416666666667
437,0.784375,0.43333333333333335
438,0.7916666666666666,0.4390625
439,0.7973958333333333,0.4505208333333333
440,0.8010416666666667,0.465625
441,0.8015625,0.4822916666666667
442,0.7989583333333333,0.4942708333333333
443,0.7963541666666667,0.5005208333333333
450,0.69375,0.43802083333333336
451,0.6989583333333333,0.4473958333333333
452,0.7041666666666667,0.4609375
453,0.7078125,0.47604166666666664
454,0.709375,0.490625
455,0.709375,0.5010416666666667
456,0.7072916666666667,0.5057291666666667
465,0.7151041666666667,0.4348958333333333
466,0.7208333333333333,0.4395833333333333
467,0.728125,0.45
468,0.7317708333333334,0.4635416666666667
469,0.7348958333333333,0.4791666666666667
470,0.7354166666666667,0.4921875
471,0.7333333333333333,0.5
480,0.7411458333333333,0.43385416666666665
481,0.7479166666666667,0.43802083333333336
482,0.753125,0.44895833333333335
483,0.7572916666666667,0.4640625
484,0.7604166666666666,0.4796875
485,0.7598958333333333,0.4921875
486,0.7588541666666667,0.5
495,0.7739583333333333,0.434375
496,0.7791666666666667,0.4427083333333333
497,0.7848958333333333,0.45729166666666665
498,0.7864583333333334,0.4713541666666667
499,0.7869791666666667,0.4864583333333333
500,0.784375,0.4973958333333333
509,0.8036458333333333,0.43645833333333334
510,0.809375,0.446875
511,0.8119791666666667,0.4630208333333333
579,0.7848958333333333,0.5052083333333334
580,0.784375,0.5177083333333333
581,0.7807291666666667,0.5260416666666666
582,0.7755208333333333,0.528125
592,0.8067708333333333,0.5005208333333333
593,0.8072916666666666,0.5135416666666667
594,0.8046875,0.5229166666666667
595,0.8005208333333333,0.528125
605,0.8302083333333333,0.5020833333333333
606,0.8302083333333333,0.515625
607,0.8265625,0.525
608,0.8223958333333333,0.5296875
617,0.8494791666666667,0.49895833333333334
618,0.8526041666666667,0.5114583333333333
619,0.8520833333333333,0.5223958333333333
629,0.8734375,0.503125
630,0.8734375,0.515625
631,0.8697916666666666,0.5255208333333333
640,0.6822916666666666,0.5328125
641,0.6786458333333333,0.5380208333333333
654,0.7072916666666667,0.5072916666666667
655,0.7083333333333334,0.5197916666666667
656,0.7057291666666666,0.5291666666666667
670,0.7296875,0.5083333333333333
671,0.7291666666666666,0.5197916666666667
672,0.7260416666666667,0.528125
685,0.7526041666666666,0.5057291666666667
686,0.7526041666666666,0.5177083333333333
687,0.7494791666666667,0.5255208333333333
688,0.7458333333333333,0.5291666666666667
699,0.7729166666666667,0.5026041666666666
700,0.7734375,0.5151041666666667
701,0.7713541666666667,0.525
713,0.7963541666666667,0.5036458333333333
714,0.796875,0.5166666666666667
715,0.7932291666666667,0.5255208333333333
726,0.8192708333333333,0.5010416666666667
727,0.8197916666666667,0.5140625
728,0.8166666666666667,0.5244791666666667
739,0.8416666666666667,0.5072916666666667
740,0.8411458333333334,0.51875
741,0.8380208333333333,0.5276041666666667
751,0.8625,0.50625
752,0.8645833333333334,0.51875
762,0.8828125,0.5
763,0.884375,0.5140625
764,0.8822916666666667,0.525
835,0.6552083333333333,0.5255208333333333
836,0.653125,0.5375
837,0.6515625,0.5447916666666667
853,0.6625,0.521875
854,0.6614583333333334,0.5328125
855,0.659375,0.5416666666666666
870,0.671875,0.5182291666666666
871,0.6723958333333333,0.5302083333333333
872,0.6697916666666667,0.5380208333333333
873,0.6666666666666666,0.5411458333333333
887,0.6838541666666667,0.5177083333333333
888,0.6822916666666666,0.5296875
889,0.6786458333333333,0.5359375
916,0.6390625,0.55
917,0.64375,0.5447916666666667
918,0.6479166666666667,0.5364583333333334
919,0.6442708333333333,0.528125
920,0.6385416666666667,0.5401041666666667
921,0.634375,0.5473958333333333
922,0.6302083333333334,0.5526041666666667
967,0.6958333333333333,0.5114583333333333
968,0.696875,0.5229166666666667
969,0.6953125,0.53125
983,0.7192708333333333,0.5078125
984,0.7182291666666667,0.5192708333333333
985,0.715625,0.528125
999,0.7401041666666667,0.5130208333333334
1000,0.7390625,0.5234375
1001,0.7359375,0.5291666666666667
1013,0.7625,0.5057291666666667
1014,0.7619791666666667,0.5177083333333333
1015,0.7598958333333333,0.5255208333333333
1026,0.5765625,0.5572916666666666
1054,0.6005208333333333,0.5572916666666666
1055,0.609375,0.5526041666666667
1056,0.6114583333333333,0.55625
1085,0.628125,0.5473958333333333
1176,0.5557291666666667,0.55625
1281,0.44479166666666664,0.5411458333333333
1282,0.44427083333333334,0.5385416666666667
1283,0.4427083333333333,0.5338541666666666
1284,0.44114583333333335,0.528125
1285,0.4401041666666667,0.5197916666666667
1286,0.4401041666666667,0.5072916666666667
1287,0.43854166666666666,0.4921875
1303,0.425,0.4947916666666667
1304,0.42552083333333335,0.5078125
1305,0.4270833333333333,0.5197916666666667
1306,0.428125,0.5291666666666667
1308,0.41302083333333334,0.5260416666666666
1309,0.4119791666666667,0.5171875
1310,0.4125,0.5046875
1358,0.484375,0.53125
1359,0.484375,0.5229166666666667
1360,0.48333333333333334,0.5104166666666666
1361,0.48333333333333334,0.496875
1362,0.4817708333333333,0.48125
1376,0.49322916666666666,0.478125
1377,0.4953125,0.49322916666666666
1378,0.49635416666666665,0.5083333333333333
1379,0.49635416666666665,0.5197916666666667
1380,0.496875,0.5291666666666667
1381,0.496875,0.5380208333333333
1382,0.496875,0.54375
1541,0.4109375,0.49166666666666664
1542,0.3984375,0.4864583333333333
1543,0.3890625,0.4708333333333333
1544,0.3880208333333333,0.45364583333333336
1545,0.396875,0.43854166666666666
1551,0.43020833333333336,0.48541666666666666
1552,0.41770833333333335,0.4765625
1553,0.409375,0.46041666666666664
1554,0.4109375,0.440625
1555,0.421875,0.4265625
1561,0.45,0.47708333333333336
1562,0.440625,0.4666666666666667
1563,0.4322916666666667,0.4473958333333333
1564,0.43645833333333334,0.4276041666666667
1565,0.44895833333333335,0.4171875
1572,0.4583333333333333,0.446875
1573,0.45729166666666665,0.425
1574,0.46770833333333334,0.4109375
1580,0.4973958333333333,0.4557291666666667
1581,0.48854166666666665,0.4401041666666667
1582,0.4859375,0.4171875
1583,0.49322916666666666,0.4015625
1588,0.5354166666666667,0.453125
1589,0.5255208333333333,0.4484375
1590,0.515625,0.4322916666666667
1591,0.5125,0.4088541666666667
1597,0.5614583333333333,0.4427083333333333
1598,0.5494791666666666,0.4322916666666667
1599,0.540625,0.4109375
1664,0.31145833333333334,0.4630208333333333
1671,0.3614583333333333,0.5130208333333334
1672,0.346875,0.515625
1673,0.3328125,0.5083333333333333
1674,0.32447916666666665,0.4942708333333333
1675,0.31979166666666664,0.47760416666666666
1676,0.3229166666666667,0.46041666666666664
1677,0.3333333333333333,0.45208333333333334
1683,0.36822916666666666,0.5104166666666666
1684,0.35572916666666665,0.5130208333333334
1685,0.34375,0.50625
1686,0.33541666666666664,0.4921875
1687,0.33177083333333335,0.475
1688,0.334375,0.4583333333333333
1689,0.34322916666666664,0.44895833333333335
1695,0.3734375,0.5057291666666667
1696,0.3614583333333333,0.5036458333333333
1697,0.3489583333333333,0.49322916666666666
1698,0.34270833333333334,0.47604166666666664
1699,0.34375,0.459375
1700,0.35260416666666666,0.4479166666666667
1706,0.38125,0.5026041666666666
1707,0.3697916666666667,0.49895833333333334
1708,0.35885416666666664,0.4859375
1709,0.35260416666666666,0.4703125
1710,0.35520833333333335,0.45260416666666664
1711,0.365625,0.4432291666666667
1717,0.3875,0.496875
1718,0.37604166666666666,0.4895833333333333
1719,0.36666666666666664,0.47239583333333335
1720,0.365625,0.4552083333333333
1721,0.3734375,0.4421875
1727,0.3958333333333333,0.4921875
1728,0.38645833333333335,0.48385416666666664
1729,0.37864583333333335,0.465625
1730,0.3796875,0.44895833333333335
1737,0.415625,0.4875
1738,0.4046875,0.47604166666666664
1739,0.3984375,0.4588541666666667
1740,0.4015625,0.440625
1747,0.4390625,0.4828125
1748,0.42916666666666664,0.47239583333333335
1749,0.42135416666666664,0.4552083333333333
1750,0.4234375,0.4354166666666667
1758,0.45260416666666664,0.4666666666666667
1759,0.44479166666666664,0.45
1760,0.44583333333333336,0.4296875
1761,0.45625,0.41458333333333336
1769,0.4713541666666667,0.43072916666666666
1770,0.475,0.4114583333333333
1776,0.5140625,0.4552083333333333
1777,0.5057291666666667,0.4453125
1778,0.49947916666666664,0.4244791666666667
1779,0.5026041666666666,0.4046875
1780,0.5140625,0.3927083333333333
1785,0.54375,0.446875
1786,0.534375,0.4354166666666667
1787,0.5276041666666667,0.41302083333333334
1788,0.5291666666666667,0.3921875
1809,0.45,0.5557291666666667
1810,0.44427083333333334,0.5619791666666667
1819,0.4625,0.5572916666666666
1820,0.4578125,0.5635416666666667
1829,0.4765625,0.5583333333333333
1838,0.49114583333333334,0.55625
1839,0.4864583333333333,0.5640625
2000,0.4395833333333333,0.5567708333333333
2009,0.45625,0.5541666666666667
2010,0.4515625,0.5614583333333333
2019,0.46822916666666664,0.559375
2028,0.484375,0.5583333333333333
2029,0.4791666666666667,0.5651041666666666
2074,0.35104166666666664,0.540625
2075,0.346875,0.5385416666666667
2076,0.34427083333333336,0.5348958333333333
2077,0.34010416666666665,0.53125
2080,0.31979166666666664,0.5145833333333333
2082,0.2916666666666667,0.5015625
2083,0.28541666666666665,0.48802083333333335
2084,0.2890625,0.47239583333333335
2087,0.28958333333333336,0.49114583333333334
2088,0.29322916666666665,0.5057291666666667
2089,0.30104166666666665,0.5177083333333333
2090,0.309375,0.5234375
2091,0.31666666666666665,0.525
2095,0.3302083333333333,0.5359375
2136,0.45625,0.540625
2137,0.45416666666666666,0.5364583333333334
2139,0.45,0.5234375
2140,0.45260416666666664,0.5130208333333334
2141,0.45416666666666666,0.49895833333333334
2142,0.453125,0.4822916666666667
2157,0.46979166666666666,0.5
2158,0.4703125,0.5130208333333334
2159,0.4708333333333333,0.5234375
2160,0.4713541666666667,0.53125
2402,0.2890625,0.49583333333333335
2408,0.37447916666666664,0.5166666666666667
2409,0.3921875,0.5161458333333333
2410,0.3890625,0.5109375
2413,0.34739583333333335,0.5239583333333333
2417,0.29583333333333334,0.4947916666666667
2418,0.29322916666666665,0.4791666666666667
2419,0.29635416666666664,0.46458333333333335
2421,0.3072916666666667,0.46041666666666664
2422,0.30052083333333335,0.471875
2423,0.3,0.48802083333333335
2424,0.3067708333333333,0.503125
2425,0.31875,0.5135416666666667
2428,0.34010416666666665,0.5166666666666667
2429,0.32916666666666666,0.5098958333333333
2430,0.31927083333333334,0.49895833333333334
2431,0.3104166666666667,0.48489583333333336
